nm, A
800.000000, -0.000038
799.000000, 0.000134
798.000000, 0.000223
797.000000, 0.000094
796.000000, 0.000076
795.000000, 0.000150
794.000000, 0.000133
793.000000, 0.000157
792.000000, 0.000104
791.000000, 0.000117
790.000000, 0.000251
789.000000, 0.000274
788.000000, 0.000142
787.000000, 0.000318
786.000000, 0.000129
785.000000, 0.000220
784.000000, 0.000252
783.000000, 0.000115
782.000000, 0.000156
781.000000, 0.000141
780.000000, 0.000220
779.000000, 0.000232
778.000000, 0.000229
777.000000, 0.000159
776.000000, 0.000225
775.000000, 0.000066
774.000000, 0.000269
773.000000, 0.000165
772.000000, 0.000182
771.000000, 0.000232
770.000000, 0.000213
769.000000, 0.000225
768.000000, 0.000262
767.000000, 0.000145
766.000000, 0.000117
765.000000, 0.000174
764.000000, 0.000160
763.000000, 0.000162
762.000000, 0.000252
761.000000, 0.000232
760.000000, 0.000179
759.000000, 0.000223
758.000000, 0.000170
757.000000, 0.000130
756.000000, 0.000263
755.000000, 0.000131
754.000000, 0.000162
753.000000, 0.000169
752.000000, 0.000114
751.000000, 0.000164
750.000000, 0.000113
749.000000, 0.000161
748.000000, 0.000154
747.000000, 0.000054
746.000000, 0.000117
745.000000, 0.000070
744.000000, 0.000123
743.000000, 0.000163
742.000000, 0.000100
741.000000, 0.000062
740.000000, 0.000040
739.000000, 0.000067
738.000000, 0.000082
737.000000, 0.000092
736.000000, 0.000061
735.000000, 0.000011
734.000000, 0.000145
733.000000, 0.000184
732.000000, 0.000264
731.000000, 0.000159
730.000000, 0.000162
729.000000, 0.000243
728.000000, 0.000227
727.000000, 0.000269
726.000000, 0.000256
725.000000, 0.000231
724.000000, 0.000260
723.000000, 0.000305
722.000000, 0.000245
721.000000, 0.000303
720.000000, 0.000329
719.000000, 0.000269
718.000000, 0.000332
717.000000, 0.000358
716.000000, 0.000275
715.000000, 0.000182
714.000000, 0.000384
713.000000, 0.000384
712.000000, 0.000358
711.000000, 0.000333
710.000000, 0.000368
709.000000, 0.000366
708.000000, 0.000472
707.000000, 0.000461
706.000000, 0.000426
705.000000, 0.000440
704.000000, 0.000480
703.000000, 0.000427
702.000000, 0.000372
701.000000, 0.000511
700.000000, 0.000484
699.000000, 0.000476
698.000000, 0.000588
697.000000, 0.000459
696.000000, 0.000516
695.000000, 0.000502
694.000000, 0.000577
693.000000, 0.000482
692.000000, 0.000583
691.000000, 0.000570
690.000000, 0.000515
689.000000, 0.000603
688.000000, 0.000542
687.000000, 0.000515
686.000000, 0.000631
685.000000, 0.000574
684.000000, 0.000567
683.000000, 0.000692
682.000000, 0.000619
681.000000, 0.000658
680.000000, 0.000571
679.000000, 0.000669
678.000000, 0.000649
677.000000, 0.000639
676.000000, 0.000645
675.000000, 0.000695
674.000000, 0.000711
673.000000, 0.000728
672.000000, 0.000718
671.000000, 0.000818
670.000000, 0.000820
669.000000, 0.000786
668.000000, 0.000769
667.000000, 0.000738
666.000000, 0.000814
665.000000, 0.000883
664.000000, 0.000772
663.000000, 0.000913
662.000000, 0.000871
661.000000, 0.000772
660.000000, 0.000839
659.000000, 0.000869
658.000000, 0.000859
657.000000, 0.000840
656.000000, 0.000857
655.000000, 0.000893
654.000000, 0.000930
653.000000, 0.000935
652.000000, 0.000893
651.000000, 0.000990
650.000000, 0.000982
649.000000, 0.000998
648.000000, 0.000995
647.000000, 0.001049
646.000000, 0.001076
645.000000, 0.001091
644.000000, 0.001074
643.000000, 0.001083
642.000000, 0.001109
641.000000, 0.001163
640.000000, 0.001116
639.000000, 0.001133
638.000000, 0.001157
637.000000, 0.001151
636.000000, 0.001158
635.000000, 0.001184
634.000000, 0.001165
633.000000, 0.001174
632.000000, 0.001220
631.000000, 0.001278
630.000000, 0.001331
629.000000, 0.001254
628.000000, 0.001261
627.000000, 0.001338
626.000000, 0.001352
625.000000, 0.001368
624.000000, 0.001370
623.000000, 0.001418
622.000000, 0.001475
621.000000, 0.001389
620.000000, 0.001387
619.000000, 0.001451
618.000000, 0.001461
617.000000, 0.001491
616.000000, 0.001506
615.000000, 0.001517
614.000000, 0.001550
613.000000, 0.001560
612.000000, 0.001563
611.000000, 0.001617
610.000000, 0.001628
609.000000, 0.001611
608.000000, 0.001620
607.000000, 0.001712
606.000000, 0.001720
605.000000, 0.001702
604.000000, 0.001684
603.000000, 0.001736
602.000000, 0.001760
601.000000, 0.001732
600.000000, 0.001708
599.000000, 0.001770
598.000000, 0.001814
597.000000, 0.001847
596.000000, 0.001867
595.000000, 0.001894
594.000000, 0.001925
593.000000, 0.001927
592.000000, 0.001865
591.000000, 0.001914
590.000000, 0.001919
589.000000, 0.001929
588.000000, 0.001979
587.000000, 0.002031
586.000000, 0.002030
585.000000, 0.002035
584.000000, 0.002008
583.000000, 0.002037
582.000000, 0.002079
581.000000, 0.002127
580.000000, 0.002147
579.000000, 0.002198
578.000000, 0.002216
577.000000, 0.002197
576.000000, 0.002190
575.000000, 0.002310
574.000000, 0.002320
573.000000, 0.002284
572.000000, 0.002293
571.000000, 0.002365
570.000000, 0.002356
569.000000, 0.002386
568.000000, 0.002368
567.000000, 0.002403
566.000000, 0.002457
565.000000, 0.002475
564.000000, 0.002487
563.000000, 0.002546
562.000000, 0.002538
561.000000, 0.002447
560.000000, 0.002463
559.000000, 0.002546
558.000000, 0.002578
557.000000, 0.002596
556.000000, 0.002608
555.000000, 0.002579
554.000000, 0.002582
553.000000, 0.002646
552.000000, 0.002676
551.000000, 0.002670
550.000000, 0.002742
549.000000, 0.002783
548.000000, 0.002773
547.000000, 0.002800
546.000000, 0.002857
545.000000, 0.002815
544.000000, 0.002817
543.000000, 0.002860
542.000000, 0.002909
541.000000, 0.002979
540.000000, 0.002997
539.000000, 0.002996
538.000000, 0.003050
537.000000, 0.003075
536.000000, 0.003101
535.000000, 0.003139
534.000000, 0.003191
533.000000, 0.003198
532.000000, 0.003176
531.000000, 0.003226
530.000000, 0.003264
529.000000, 0.003272
528.000000, 0.003323
527.000000, 0.003377
526.000000, 0.003404
525.000000, 0.003418
524.000000, 0.003442
523.000000, 0.003520
522.000000, 0.003581
521.000000, 0.003601
520.000000, 0.003598
519.000000, 0.003654
518.000000, 0.003756
517.000000, 0.003764
516.000000, 0.003780
515.000000, 0.003854
514.000000, 0.003880
513.000000, 0.003915
512.000000, 0.003975
511.000000, 0.003997
510.000000, 0.004016
509.000000, 0.004060
508.000000, 0.004088
507.000000, 0.004147
506.000000, 0.004238
505.000000, 0.004272
504.000000, 0.004255
503.000000, 0.004314
502.000000, 0.004395
501.000000, 0.004428
500.000000, 0.004453
499.000000, 0.004514
498.000000, 0.004557
497.000000, 0.004630
496.000000, 0.004719
495.000000, 0.004733
494.000000, 0.004787
493.000000, 0.004845
492.000000, 0.004820
491.000000, 0.004861
490.000000, 0.004912
489.000000, 0.004927
488.000000, 0.004940
487.000000, 0.004979
486.000000, 0.005062
485.000000, 0.005144
484.000000, 0.005197
483.000000, 0.005226
482.000000, 0.005271
481.000000, 0.005357
480.000000, 0.005384
479.000000, 0.005413
478.000000, 0.005506
477.000000, 0.005604
476.000000, 0.005637
475.000000, 0.005718
474.000000, 0.005843
473.000000, 0.005927
472.000000, 0.005973
471.000000, 0.006027
470.000000, 0.006076
469.000000, 0.006197
468.000000, 0.006246
467.000000, 0.006359
466.000000, 0.006430
465.000000, 0.006523
464.000000, 0.006594
463.000000, 0.006667
462.000000, 0.006775
461.000000, 0.006862
460.000000, 0.006918
459.000000, 0.006991
458.000000, 0.007091
457.000000, 0.007248
456.000000, 0.007324
455.000000, 0.007404
454.000000, 0.007486
453.000000, 0.007552
452.000000, 0.007679
451.000000, 0.007779
450.000000, 0.007920
449.000000, 0.007990
448.000000, 0.008041
447.000000, 0.008162
446.000000, 0.008306
445.000000, 0.008373
444.000000, 0.008447
443.000000, 0.008547
442.000000, 0.008663
441.000000, 0.008797
440.000000, 0.009026
439.000000, 0.009131
438.000000, 0.009230
437.000000, 0.009381
436.000000, 0.009447
435.000000, 0.009597
434.000000, 0.009744
433.000000, 0.009904
432.000000, 0.010029
431.000000, 0.010159
430.000000, 0.010334
429.000000, 0.010456
428.000000, 0.010539
427.000000, 0.010700
426.000000, 0.010844
425.000000, 0.011070
424.000000, 0.011206
423.000000, 0.011425
422.000000, 0.011562
421.000000, 0.011740
420.000000, 0.011833
419.000000, 0.012042
418.000000, 0.012231
417.000000, 0.012375
416.000000, 0.012519
415.000000, 0.012762
414.000000, 0.012949
413.000000, 0.013073
412.000000, 0.013233
411.000000, 0.013468
410.000000, 0.013707
409.000000, 0.013861
408.000000, 0.014003
407.000000, 0.014204
406.000000, 0.014437
405.000000, 0.014693
404.000000, 0.014842
403.000000, 0.015084
402.000000, 0.015327
401.000000, 0.015567
400.000000, 0.015691
399.000000, 0.015962
398.000000, 0.016213
397.000000, 0.016444
396.000000, 0.016662
395.000000, 0.016963
394.000000, 0.017155
393.000000, 0.017443
392.000000, 0.017697
391.000000, 0.017893
390.000000, 0.018211
389.000000, 0.018516
388.000000, 0.018682
387.000000, 0.018937
386.000000, 0.019253
385.000000, 0.019547
384.000000, 0.019927
383.000000, 0.020159
382.000000, 0.020381
381.000000, 0.020721
380.000000, 0.020964
379.000000, 0.021320
378.000000, 0.021817
377.000000, 0.022537
376.000000, 0.022568
375.000000, 0.022701
374.000000, 0.022981
373.000000, 0.023399
372.000000, 0.023598
371.000000, 0.024079
370.000000, 0.024422
369.000000, 0.024661
368.000000, 0.024977
367.000000, 0.025454
366.000000, 0.025710
365.000000, 0.026136
364.000000, 0.026626
363.000000, 0.027041
362.000000, 0.027324
361.000000, 0.027751
360.000000, 0.028066
359.000000, 0.028431
358.000000, 0.029016
357.000000, 0.029373
356.000000, 0.029775
355.000000, 0.030216
354.000000, 0.030678
353.000000, 0.031031
352.000000, 0.031377
351.000000, 0.031968
350.000000, 0.032459
349.000000, 0.032821
348.000000, 0.033375
347.000000, 0.033819
346.000000, 0.034309
345.000000, 0.034661
344.000000, 0.035302
343.000000, 0.035731
342.000000, 0.036367
341.000000, 0.036808
340.000000, 0.037327
339.000000, 0.037919
338.000000, 0.038453
337.000000, 0.038954
336.000000, 0.039545
335.000000, 0.040136
334.000000, 0.040709
333.000000, 0.041150
332.000000, 0.041729
331.000000, 0.042341
330.000000, 0.043049
329.000000, 0.043689
328.000000, 0.044307
327.000000, 0.044975
326.000000, 0.045639
325.000000, 0.046270
324.000000, 0.046907
323.000000, 0.047564
322.000000, 0.048272
321.000000, 0.048992
320.000000, 0.049779
319.000000, 0.050373
318.000000, 0.050973
317.000000, 0.051796
316.000000, 0.052648
315.000000, 0.053367
314.000000, 0.053989
313.000000, 0.054616
312.000000, 0.055571
311.000000, 0.056395
310.000000, 0.057038
309.000000, 0.057967
308.000000, 0.058853
307.000000, 0.059562
306.000000, 0.060353
305.000000, 0.061104
304.000000, 0.061982
303.000000, 0.062845
302.000000, 0.063681
301.000000, 0.064421
300.000000, 0.065354
299.000000, 0.066239
298.000000, 0.066972
297.000000, 0.067736
296.000000, 0.068714
295.000000, 0.069731
294.000000, 0.070711
293.000000, 0.071497
292.000000, 0.072469
291.000000, 0.073563
290.000000, 0.074430
289.000000, 0.075401
288.000000, 0.076288
287.000000, 0.077296
286.000000, 0.078265
285.000000, 0.079468
284.000000, 0.080510
283.000000, 0.081527
282.000000, 0.082738
281.000000, 0.083787
280.000000, 0.084948
279.000000, 0.085988
278.000000, 0.087083
277.000000, 0.088215
276.000000, 0.089580
275.000000, 0.090778
274.000000, 0.091839
273.000000, 0.093043
272.000000, 0.094301
271.000000, 0.095264
270.000000, 0.096581
269.000000, 0.097617
268.000000, 0.098854
267.000000, 0.100003
266.000000, 0.101152
265.000000, 0.102324
264.000000, 0.103593
263.000000, 0.104706
262.000000, 0.105927
261.000000, 0.106997
260.000000, 0.108165
259.000000, 0.109349
258.000000, 0.110404
257.000000, 0.111497
256.000000, 0.112693
255.000000, 0.113939
254.000000, 0.115019
253.000000, 0.116118
252.000000, 0.117163
251.000000, 0.118141
250.000000, 0.119222
249.000000, 0.120091
248.000000, 0.121224
247.000000, 0.122252
246.000000, 0.123235
245.000000, 0.124122
244.000000, 0.125252
243.000000, 0.126328
242.000000, 0.127460
241.000000, 0.128497
240.000000, 0.129908
239.000000, 0.131195
238.000000, 0.132662
237.000000, 0.134225
236.000000, 0.135967
235.000000, 0.137798
234.000000, 0.139789
233.000000, 0.141807
232.000000, 0.144214
231.000000, 0.146465
230.000000, 0.148770
229.000000, 0.151274
228.000000, 0.154052
227.000000, 0.156773
226.000000, 0.159610
225.000000, 0.162683
224.000000, 0.165636
223.000000, 0.169059
222.000000, 0.172603
221.000000, 0.176411
220.000000, 0.180561
